,Brand,Model,Year,Kilometers,No_of_owners,Fuel,Variant,Price
4389,Hyundai,Grand i10,2017,"24,500 km",1st,Petrol,1.2 Kappa Sportz,"₹ 4,30,000"
4390,Maruti Suzuki,Swift,2008,"96,000 km",3rd,Diesel,2004-2010 Vdi BSIII,"₹ 2,50,000"
4391,Maruti Suzuki,Alto,2010,"82,200 km",2nd,Petrol,2005-2010 LX BSIII,"₹ 1,40,000"
4392,Maruti Suzuki,Wagon R,2006,"100,000 km",2nd,Petrol,LXI,"₹ 1,30,000"
4393,Hyundai,Creta,2019,"86,000 km",1st,Diesel,1.6 SX Automatic Diesel,"₹ 14,50,000"
4394,Maruti Suzuki,Eeco,2019,"85,000 km",1st,Petrol,5 Seater AC,"₹ 4,00,000"
4395,Maruti Suzuki,Swift Dzire,2015,"100,000 km",2nd,Diesel,VDI,"₹ 5,20,000"
4396,Maruti Suzuki,800,1999,"30,821 km",2nd,CNG & Hybrids,Duo Std LPG,"₹ 51,000"
4397,Maruti Suzuki,800,2000,"82,453 km",2nd,Petrol,Std,"₹ 50,000"
4398,BMW,X3,2015,"75,000 km",2nd,Diesel,Others,"₹ 20,00,000"
4399,Maruti Suzuki,Alto K10,2014,"38,000 km",1st,Petrol,VXI,"₹ 2,65,000"
4400,--,--,2004,"51,976 km",--,--,--,"₹ 7,95,000"
4401,--,--,2006,"47,193 km",--,--,--,"₹ 8,07,000"
4402,Hyundai,Verna,2009,"65,000 km",1st,Diesel,CRDI VGT SX 1.5,"₹ 2,20,000"
4403,Honda,City ZX,2007,"55,000 km",1st,Petrol,GXi,"₹ 1,65,000"
4404,Maruti Suzuki,Swift Dzire,2012,"140,000 km",2nd,Diesel,Vdi BSIV,"₹ 4,70,000"
4405,Tata,Safari,2008,"170,000 km",1st,Diesel,VXI 4X2 BSIII,"₹ 2,50,000"
4406,Maruti Suzuki,Alto,2001,20 km,3rd,Petrol,2000-2005 LXI,"₹ 80,000"
4407,Maruti Suzuki,Alto 800,2020,"5,000 km",1st,Petrol,Others,"₹ 3,80,000"
4408,Mahindra,Bolero Pik-Up,2020,"35,600 km",1st,Diesel,Others,"₹ 7,45,000"
4409,Maruti Suzuki,Swift Dzire,2012,"125,000 km",3rd,Diesel,VDI,"₹ 3,65,000"
4410,BMW,X1,2012,"71,200 km",1st,Diesel,2010-2012 sDrive20d,"₹ 15,51,000"
4411,Maruti Suzuki,Wagon R,2012,"83,000 km",1st,Petrol,2010-2012 VXI BS IV,"₹ 2,75,000"
4412,Mahindra,Bolero,2009,"100,000 km",2nd,Diesel,Others,"₹ 5,00,000"
4413,Maruti Suzuki,Swift,2015,"67,000 km",2nd,Diesel,LDI SP Limited Edition,"₹ 3,50,000"
4414,Mahindra,Bolero,2012,"80,000 km",1st,Diesel,SLX 2WD BSIII,"₹ 4,65,000"
4415,Renault,Duster,2013,"80,000 km",2nd,Diesel,2012-2015 85PS Diesel RxE,"₹ 3,90,000"
4416,Mahindra,Bolero,2015,"120,000 km",2nd,Diesel,2001-2010 DI,"₹ 5,50,000"
4417,Maruti Suzuki,Ritz,2009,"135,000 km",2nd,Diesel,VDi,"₹ 1,31,000"
4418,--,--,--,--,--,--,--,
4419,Other Brands,Others,2015,"20,000 km",1st,Diesel,Others,"₹ 17,00,000"
4420,Hyundai,i10,2010,"68,000 km",1st,Petrol,2007-2010 Magna 1.2,"₹ 2,00,000"
4421,Volkswagen,Polo,2016,"52,000 km",1st,Petrol,1.2 MPI Trendline,"₹ 3,90,000"
4422,Maruti Suzuki,Omni,2015,"76,765 km",2nd,Petrol,MPI STD BSIV,"₹ 2,00,000"
4423,Hyundai,EON,2017,"57,933 km",1st,Petrol,Magna +,"₹ 3,00,000"
4424,Honda,Brio,2014,"87,000 km",2nd,Petrol,2013-2016 S MT,"₹ 3,25,000"
4425,Honda,WR-V,2017,"9,300 km",1st,Petrol,i-VTEC S,"₹ 7,50,000"
4426,Maruti Suzuki,Omni,2010,"95,000 km",4th,Petrol,E MPI STD,"₹ 1,40,000"
4427,Hyundai,i10,2008,"65,000 km",1st,Petrol,Era,"₹ 1,75,000"
4428,Maruti Suzuki,Ciaz,2019,"35,000 km",1st,Petrol,1.3 Delta,"₹ 7,75,000"
4429,Maruti Suzuki,Alto 800,2019,"31,000 km",1st,Petrol,LXI Opt,"₹ 3,35,000"
4430,Hyundai,Verna,2012,"86,000 km",3rd,Diesel,Fluidic 1.6 CRDi SX,"₹ 4,11,000"
4431,Tata,Others,2011,"111,111 km",1st,Diesel,Others,"₹ 1,60,000"
4432,Mahindra,Xylo,2011,15 km,2nd,Diesel,D2 Maxx,"₹ 2,21,000"
4433,Maruti Suzuki,Swift,2011,"98,500 km",2nd,Diesel,2011-2014 RS VDI,"₹ 3,51,000"
4434,Hyundai,Santro Xing,2011,"80,000 km",1st,Petrol,GLS,"₹ 1,75,000"
4435,Honda,Brio,2011,"71,672 km",1st,Petrol,2011-2013 V MT,"₹ 2,75,000"
4436,Honda,Accord,2008,"102,000 km",1st,Petrol,Accord 2.4 Manual,"₹ 2,10,000"
4437,Ford,Figo,2010,"175,000 km",2nd,Diesel,2010-2012 Diesel Titanium,"₹ 1,50,000"
4438,Volkswagen,Vento,2011,"148,000 km",4th,Diesel,1.6 Highline,"₹ 3,20,000"
4439,Tata,Tiago,2019,"44,000 km",2nd,Petrol,XZ,"₹ 5,10,000"
4440,Maruti Suzuki,S-Cross,2015,"87,000 km",1st,Diesel,Sigma 1.3,"₹ 5,50,000"
4441,Mahindra,Logan,2008,"125,000 km",2nd,Diesel,Diesel 1.5 DLS,"₹ 1,50,000"
4442,Hyundai,Grand i10,2016,"49,426 km",1st,Diesel,2016-2017 CRDi Sportz,"₹ 4,50,000"
4443,Maruti Suzuki,Omni,2017,"60,000 km",1st,Petrol,LPG BS-III,"₹ 91,000"
4444,Mahindra,Scorpio,2007,"100,000 km",3rd,Diesel,2006-2009 M2DI,"₹ 2,00,000"
4445,Skoda,Fabia,2012,"40,000 km",2nd,Diesel,2010-2015 1.2 TDI Ambition Plus,"₹ 4,50,000"
4446,Other Brands,Others,2018,"1,000 km",1st,Electric,Others,"₹ 60,000"
4447,Mahindra,Scorpio Getaway,2005,"40,000 km",4+,Diesel,Scorpio Getaway 2WD,"₹ 2,50,000"
4448,Maruti Suzuki,Ertiga,2018,"70,000 km",1st,CNG & Hybrids,VXI CNG,"₹ 7,80,000"
4449,Ford,Figo,2010,"152,022 km",4+,Diesel,2010-2012 Diesel ZXI,"₹ 1,45,000"
4450,Maruti Suzuki,Swift,2016,"74,000 km",1st,Diesel,VDI BS IV,"₹ 5,31,000"
4451,Hyundai,i10,2009,"62,000 km",1st,Petrol,2007-2010 Magna 1.1,"₹ 1,60,000"
4452,Maruti Suzuki,Eeco,2013,"138,000 km",2nd,Petrol,5 STR WITH A/C+HTR,"₹ 3,10,000"
4453,Maruti Suzuki,Alto,2009,"71,000 km",2nd,Petrol,LX,"₹ 1,25,000"
4454,Maruti Suzuki,Zen Estilo,2009,"45,000 km",1st,Petrol,VXI BSIII,"₹ 1,75,000"
4455,Renault,KWID,2016,"54,700 km",3rd,Petrol,1.0 RXT,"₹ 2,34,000"
4456,Hyundai,EON,2015,"24,500 km",1st,Petrol,Era +,"₹ 2,65,000"
4457,Mahindra,Bolero,2009,"271,703 km",4+,Diesel,2001-2010 SLX 2WD BSII,"₹ 2,95,135"
4458,Maruti Suzuki,Ciaz,2017,"90,000 km",2nd,Diesel,2014-2017 ZDi,"₹ 7,11,000"
4459,Maruti Suzuki,Wagon R,2006,"20,000 km",2nd,Petrol,Others,"₹ 58,000"
4460,Mahindra,Bolero Power Plus,2012,"150,000 km",4+,Diesel,SLX,"₹ 4,75,000"
4461,Maruti Suzuki,Swift,2010,"118,000 km",3rd,Diesel,VDI,"₹ 2,65,000"
4462,Renault,Pulse,2017,26 km,1st,Diesel,RxL Diesel,"₹ 3,50,000"
4463,Maruti Suzuki,Ciaz,2017,"91,000 km",2nd,Diesel,2014-2017 ZDi,"₹ 7,11,000"
4464,Maruti Suzuki,Alto,2010,20 km,3rd,CNG & Hybrids,2005-2010 LXi BSIII,"₹ 1,15,000"
4465,Mahindra,Bolero,2007,"125,000 km",3rd,Diesel,2001-2010 SLE,"₹ 2,99,000"
4466,Hyundai,Xcent,2019,"58,500 km",1st,Diesel,1.2 CRDi SX,"₹ 5,70,000"
4467,Maruti Suzuki,Omni,2016,"41,130 km",1st,Petrol,8 Seater BSIV,"₹ 2,00,000"
4468,Force Motors,Force One,2005,"80,000 km",3rd,Diesel,Others,"₹ 2,80,000"
4469,Maruti Suzuki,Alto,2005,"110,000 km",4+,Petrol,2005-2010 LX BSIII,"₹ 1,10,000"
4470,Ford,Figo,2012,"80,500 km",2nd,Diesel,2010-2012 Diesel Titanium,"₹ 2,35,000"
4471,Mahindra,Xylo,2010,280 km,3rd,Diesel,D2 BS IV,"₹ 1,39,999"
4472,Hyundai,EON,2015,"68,000 km",3rd,Petrol,D Lite Plus,"₹ 2,50,000"
4473,Mahindra,Bolero,2006,18 km,4th,Diesel,2001-2010 DI,"₹ 2,80,000"
4474,Tata,Nexon,2013,"225,000 km",1st,Diesel,KRAZ Diesel,"₹ 3,50,000"
4475,Hyundai,Santro Xing,2004,"73,595 km",2nd,Petrol,Others,"₹ 1,20,000"
4476,--,--,--,--,--,--,--,"₹ 11,000"
4477,Tata,Indica,2014,21 km,1st,Diesel,DLX,"₹ 1,50,000"
4478,Hyundai,Verna,2013,"58,000 km",1st,Diesel,2011-2014 1.6 SX CRDi (O),"₹ 5,25,000"
4479,Maruti Suzuki,Alto,2004,"57,000 km",2nd,Petrol,LX,"₹ 85,000"
4480,Maruti Suzuki,Ritz,2013,"42,000 km",3rd,Diesel,VDi,"₹ 2,50,000"
4481,Maruti Suzuki,Swift,2014,"920,000 km",2nd,Diesel,2011-2014 VDI,"₹ 3,15,000"
4482,Renault,KWID,2017,"31,000 km",2nd,Petrol,1.0 RXT AMT,"₹ 3,10,000"
4483,Tata,Others,2011,"45,000 km",2nd,Diesel,Others,"₹ 1,50,000"
4484,Maruti Suzuki,Wagon R,2011,"46,500 km",1st,Petrol,2010-2012 VXI BS IV,"₹ 2,50,000"
4485,Maruti Suzuki,Omni,2011,"80,000 km",1st,LPG,CNG,"₹ 1,25,000"
4486,Other Mobiles,--,--,--,--,--,--,"₹ 90,000"
4487,Hyundai,i10,2012,"83,000 km",3rd,Petrol,Era,"₹ 2,30,000"
4488,Maruti Suzuki,Wagon R,2006,"95,000 km",2nd,Petrol,1999-2006 LXI BSIII,"₹ 1,50,000"
4489,Maruti Suzuki,Swift,2008,"76,000 km",2nd,Petrol,Others,"₹ 1,45,000"
4490,Maruti Suzuki,Baleno,2016,"32,000 km",1st,Petrol,1.3 Alpha,"₹ 6,50,000"
4491,Maruti Suzuki,Gypsy,2007,"25,000 km",2nd,Petrol,Others,"₹ 3,75,000"
4492,--,--,--,--,--,--,--,"₹ 10,000"
4493,Maruti Suzuki,Wagon R,2016,"116,000 km",1st,Petrol,2010-2012 VXI BS IV,"₹ 3,30,000"
4494,Maruti Suzuki,Omni,2009,"128,000 km",2nd,Petrol,8 Seater BSIV,"₹ 95,000"
4495,Hyundai,i10,2008,"108,000 km",2nd,Petrol,Others,"₹ 1,30,000"
4496,Maruti Suzuki,Vitara Brezza,2017,"73,800 km",1st,Diesel,VDi,"₹ 7,95,000"
4497,Mahindra,XUV500,2014,14 km,2nd,Diesel,W8 2WD,"₹ 7,50,000"
4498,Toyota,Innova,2013,"190,000 km",2nd,Diesel,2.5 G (Diesel) 7-Seater,"₹ 6,50,000"
4499,Maruti Suzuki,Swift Dzire,2015,"74,569 km",1st,Diesel,LDI,"₹ 3,50,000"
4500,Hyundai,Creta,2016,"101,000 km",1st,Diesel,1.4 CRDi S,"₹ 8,00,000"
4501,Maruti Suzuki,Wagon R 1.0,2019,"14,000 km",2nd,Petrol,1.0 VXi,"₹ 4,70,000"
4502,Hyundai,i20,2012,"50,000 km",1st,Petrol,2010-2012 1.2 Magna,"₹ 3,65,000"
4503,Maruti Suzuki,Vitara Brezza,2019,"23,000 km",1st,Diesel,VDi,"₹ 15,00,000"
4504,Ford,Endeavour,2010,"125,000 km",4th,Diesel,2.2 Trend MT 4X4,"₹ 6,50,000"
4505,Honda,Amaze,2013,"43,900 km",1st,Petrol,1.2 EMT I VTEC,"₹ 4,25,000"
4506,Maruti Suzuki,Alto 800,2015,20 km,2nd,Petrol,2012-2016 LXI,"₹ 1,90,000"
4507,Tata,Nano,2010,"57,000 km",2nd,Petrol,2009-2011 Cx,"₹ 45,000"
4508,Mahindra,Verito,2013,"52,000 km",2nd,Diesel,1.5 D4,"₹ 1,90,000"
4509,Tata,Indica Vista,2012,"99,000 km",1st,Diesel,2008-2013 Quadrajet VX,"₹ 1,70,000"
4510,Maruti Suzuki,Alto,2008,"124,000 km",4th,Petrol,LXi,"₹ 1,25,000"
4511,Maruti Suzuki,Celerio,2015,"55,000 km",1st,Petrol,2014-2017 ZXI,"₹ 3,41,000"
4512,Mahindra,Bolero,2011,"83,000 km",4th,Diesel,2001-2010 SLX 2WD,"₹ 4,80,000"
4513,Volkswagen,CrossPolo,2013,"110,800 km",2nd,Diesel,2013-2015 1.2 TDI,"₹ 3,95,000"
4514,Hyundai,Sonata,2002,"111,111 km",4th,Petrol,2001-2004 GOLD,"₹ 99,999"
4515,Mahindra,Scorpio,2015,"140,000 km",2nd,Diesel,S10,"₹ 10,25,000"
4516,Mahindra,Bolero Pik-Up,2016,"82,000 km",2nd,Diesel,Others,"₹ 6,50,000"
4517,--,--,2005,"47,523 km",--,--,--,"₹ 7,93,000"
4518,Opel,Corsa,2005,10 km,3rd,Petrol,1.4 Elite,"₹ 60,000"
4519,Maruti Suzuki,Zen,2005,25 km,3rd,Petrol,LXI,"₹ 90,000"
4520,Hyundai,Xcent,2017,"52,000 km",1st,Diesel,1.2 CRDi SX,"₹ 4,75,000"
4521,Hyundai,EON,2013,"67,000 km",1st,Petrol,Era +,"₹ 2,45,000"
4522,Ford,Figo,2012,"55,000 km",2nd,Diesel,2010-2012 Diesel Titanium,"₹ 2,15,000"
4523,Toyota,Corolla,2007,"85,000 km",2nd,Petrol,H5 1.8E,"₹ 2,25,000"
4524,Toyota,Innova,2011,"145,000 km",3rd,Diesel,2.5 V 8 STR,"₹ 5,95,000"
4525,Maruti Suzuki,800,1991,"130,000 km",3rd,Petrol,Others,"₹ 65,000"
4526,Ford,Ecosport,2014,"72,000 km",2nd,Diesel,1.0 Ecoboost Titanium Plus,"₹ 5,00,000"
4527,Audi,Q3,2014,"78,230 km",1st,Diesel,2.0 TDI Quattro,"₹ 15,00,000"
4528,Maruti Suzuki,Swift Dzire,2015,22 km,1st,Diesel,VDI,"₹ 4,80,000"
4529,Renault,KWID,2017,"12,000 km",1st,Petrol,1.0 RXL,"₹ 2,80,000"
4530,Maruti Suzuki,Swift Dzire,2018,60 km,2nd,Diesel,VDI,"₹ 7,80,000"
4531,Maruti Suzuki,Ertiga,2016,"100,000 km",2nd,CNG & Hybrids,Others,"₹ 5,25,000"
4532,Maruti Suzuki,Gypsy,1999,"100,000 km",3rd,Diesel,1996-2000 King Soft Top,"₹ 1,59,000"
4533,Chevrolet,Spark,2008,"59,000 km",1st,Petrol,1.0 BS3,"₹ 1,25,000"
4534,Toyota,Etios Liva,2013,"150,300 km",2nd,Diesel,2013-2014 GD,"₹ 3,40,000"
4535,Renault,KWID,2019,"7,000 km",1st,Petrol,RXL,"₹ 3,10,000"
4536,Bentley,Others,2013,"105,555 km",1st,Diesel,Others,"₹ 1,45,000"
4537,Mahindra,Scorpio,2018,"92,000 km",1st,Diesel,S11,"₹ 15,50,000"
4538,Maruti Suzuki,Omni,2018,"21,000 km",2nd,Petrol,MPI STD BSIII 8-STR W/ IMMOBILISER,"₹ 2,70,000"
4539,--,--,2006,"48,631 km",--,--,--,"₹ 7,90,000"
4540,--,--,2005,"51,077 km",--,--,--,"₹ 7,96,000"
4541,--,--,2004,12 km,--,--,--,"₹ 7,53,000"
4542,Hyundai,EON,2013,"47,000 km",1st,Petrol,Era +,"₹ 2,25,000"
4543,Hyundai,Santro Xing,2009,"55,000 km",1st,Petrol,GLS LPG,"₹ 1,85,000"
4544,Hyundai,i10,2013,"90,000 km",2nd,Petrol,1.2 L Kappa Magna Special Edition,"₹ 3,00,000"
4545,Maruti Suzuki,Zen,2005,"98,000 km",3rd,Petrol,LXI,"₹ 97,000"
4546,Maruti Suzuki,Wagon R 1.0,2007,"95,000 km",2nd,Petrol,Wagon R 1.0 LX,"₹ 1,15,000"
4547,Mahindra,Supro,2019,"67,084 km",1st,Diesel,VX 8 Str,"₹ 3,50,000"
4548,Hyundai,Verna,2012,"86,000 km",3rd,Diesel,CRDi 1.6 SX,"₹ 4,00,000"
4549,Maruti Suzuki,Swift,2017,"68,000 km",1st,Diesel,VDI Optional,"₹ 5,55,000"
4550,Maruti Suzuki,Alto K10,2014,"107,000 km",2nd,Petrol,VXI,"₹ 2,15,000"
4551,Maruti Suzuki,Alto,2008,130 km,2nd,Petrol,2005-2010 LXi BSIII,"₹ 1,20,000"
4552,Maruti Suzuki,Swift Dzire Tour,2017,"135,000 km",2nd,Diesel,LDI,"₹ 4,45,000"
4553,Hyundai,Verna,2017,"64,000 km",1st,Diesel,2016-2017 1.6 CRDi AT S,"₹ 9,85,000"
4554,Maruti Suzuki,Alto 800,2019,"55,000 km",1st,LPG,LXI,"₹ 3,50,000"
4555,Maruti Suzuki,Wagon R 1.0,2018,"29,000 km",1st,Petrol,1.0 Vxi-ABS-Airbag,"₹ 4,75,000"
4556,Maruti Suzuki,Alto 800,2016,"40,000 km",2nd,Petrol,2012-2016 LXI Airbag,"₹ 2,99,000"
4557,Toyota,Innova,2007,"98,000 km",2nd,Diesel,2.5 V 7 STR,"₹ 2,75,000"
4558,Mahindra,Bolero,2015,"65,000 km",1st,Diesel,ZLX BSIII,"₹ 6,50,000"
4559,--,--,2005,"48,731 km",--,--,--,"₹ 7,96,000"
4560,Mahindra,Quanto,2015,"75,000 km",1st,Diesel,C2,"₹ 3,35,000"
4561,Honda,WR-V,2017,"77,800 km",1st,Diesel,i-DTEC VX,"₹ 7,50,000"
4562,Toyota,Innova,2006,"150,000 km",3rd,Diesel,2.5 G (Diesel) 7-Seater,"₹ 3,10,000"
4563,Hyundai,Xcent,2016,"56,601 km",1st,Petrol,1.2 VTVT S,"₹ 4,85,000"
4564,Maruti Suzuki,Swift Dzire,2009,"215,000 km",2nd,Diesel,VDI,"₹ 2,20,000"
4565,Hyundai,Santro Xing,2007,"90,000 km",3rd,Petrol,XK CNG,"₹ 1,50,000"
4566,Renault,Duster,2013,"69,000 km",2nd,Diesel,85PS Diesel RxL,"₹ 4,25,000"
4567,Maruti Suzuki,Swift,2010,"115,000 km",2nd,Diesel,2004-2010 VDI BSIV,"₹ 1,70,000"
4568,Tata,Tigor,2017,"70,300 km",1st,Petrol,1.05 Revotorq XZ Option,"₹ 5,10,000"
4569,Hyundai,i20,2012,"68,000 km",1st,Diesel,2012-2014 Magna,"₹ 2,65,000"
4570,Mahindra,XUV500,2013,"94,000 km",1st,Diesel,2011-2015 W6 2WD,"₹ 5,65,000"
4571,--,--,2003,12 km,--,--,--,"₹ 7,51,000"
4572,Maruti Suzuki,Wagon R 1.0,2011,"50,000 km",1st,Petrol,1.0 VXi,"₹ 2,65,000"
4573,Mahindra,Scorpio,2007,"95,000 km",1st,Diesel,2002-2013 2.6 CRDe,"₹ 2,75,000"
4574,Tata,Tiago,2016,"51,000 km",1st,Diesel,1.2 Revotron XT,"₹ 3,51,000"
4575,Audi,A3 Cabriolet,2013,11 km,2nd,Petrol,40 TFSI Premium Plus,"₹ 38,00,000"
4576,Toyota,Innova,2011,"200,000 km",1st,Diesel,2.5 GX (Diesel) 8 Seater,"₹ 6,00,000"
4577,Maruti Suzuki,Alto,2009,22 km,3rd,Petrol,LXi,"₹ 1,10,000"
4578,Maruti Suzuki,SX4,2010,"135,000 km",3rd,Petrol,ZXi,"₹ 1,70,000"
4579,Maruti Suzuki,Alto,2006,"93,000 km",2nd,Petrol,2000-2005 LXI,"₹ 1,25,000"
4580,--,--,--,--,--,--,--,--
4581,Hyundai,Grand i10,2009,"90,000 km",4th,Petrol,1.2 Kappa Magna,"₹ 1,80,000"
4582,Hyundai,i10,2011,"37,000 km",3rd,Petrol,1.2 Kappa Magna,"₹ 2,50,000"
4583,Mahindra,Scorpio,2018,"37,000 km",1st,Diesel,S6 Plus,"₹ 12,50,000"
4584,Maruti Suzuki,Swift,2006,"90,000 km",4th,Petrol,2004-2010 VXI with ABS,"₹ 1,50,000"
4585,Hyundai,Grand i10,2018,"23,000 km",1st,Petrol,1.2 Kappa Magna,"₹ 4,60,000"
4586,Honda,City,2014,"124,000 km",1st,Diesel,2014-2015 i DTEC S,"₹ 5,25,000"
4587,Hyundai,Grand i10,2019,"11,000 km",1st,Petrol,Sportz 1.2 Kappa VTVT,"₹ 5,25,000"
4588,Maruti Suzuki,Swift,2017,"70,000 km",1st,Diesel,VDI BS IV,"₹ 6,25,000"
4589,Volkswagen,Polo,2015,"45,000 km",1st,Diesel,1.2 MPI Highline Plus,"₹ 4,75,000"
4590,Maruti Suzuki,Baleno,2018,"70,000 km",1st,Petrol,Alpha CVT,"₹ 6,95,000"
4591,Toyota,Innova,2010,"252,000 km",3rd,CNG & Hybrids,2009-2011 CNG,"₹ 2,85,000"
4592,Maruti Suzuki,Eeco,2015,"70,000 km",2nd,CNG & Hybrids,CNG 5 Seater AC,"₹ 3,00,000"
4593,Maruti Suzuki,Estilo,2007,"70,000 km",3rd,Petrol,LXI,"₹ 90,000"
4594,Maruti Suzuki,Zen Estilo,2008,"70,000 km",2nd,Petrol,Zen Estilo LXI,"₹ 1,25,000"
4595,Mahindra Renault,Logan,2002,"202,020 km",2nd,Diesel,Others,"₹ 1,50,000"
4596,Toyota,Innova,2010,15 km,4+,Diesel,2.5 V 7 STR,"₹ 3,70,000"
4597,Mahindra,Others,2008,"150,000 km",3rd,Diesel,Others,"₹ 2,40,000"
4598,Volkswagen,Vento,2017,"56,000 km",1st,Petrol,1.2 TSI Highline,"₹ 7,50,000"
4599,Maruti Suzuki,Swift,2014,"92,000 km",1st,Diesel,2011-2014 RS VDI,"₹ 3,80,000"
4600,Tata,Indica Vista,2010,"75,000 km",2nd,Diesel,2008-2013 Terra 1.4 TDI,"₹ 95,000"
4601,Honda,City,2014,"92,000 km",1st,Diesel,2014-2015 i DTEC VX,"₹ 5,21,000"
4602,--,--,2004,"51,764 km",--,--,--,"₹ 7,98,000"
4603,Mahindra,Others,2002,"202,020 km",2nd,Diesel,Others,"₹ 1,50,000"
4604,Fiat,Linea,2010,"100,000 km",2nd,Petrol,2007-2013 T Jet Emotion,"₹ 2,20,000"
4605,Maruti Suzuki,Esteem,2003,"43,000 km",3rd,Petrol,VXi BSIII CNG,"₹ 90,000"
4606,Maruti Suzuki,Swift,2010,"59,000 km",2nd,Petrol,VXI,"₹ 2,75,000"
4607,Hyundai,i20,2019,"62,000 km",1st,Petrol,1.2 Asta Option,"₹ 7,25,000"
4608,Tata,Others,2012,"120,000 km",2nd,Petrol,Others,"₹ 1,70,000"
4609,Maruti Suzuki,Ertiga,2014,"48,000 km",2nd,Diesel,2012-2015 VDI,"₹ 6,85,000"
4610,Maruti Suzuki,Alto K10,2016,"70,000 km",2nd,CNG & Hybrids,K10 VXi (O),"₹ 2,40,000"
4611,Ashok Leyland,Stile,2012,"100,000 km",3rd,Diesel,Others,"₹ 1,80,000"
4612,Maruti Suzuki,Eeco,2019,"10,300 km",1st,Petrol,Smiles 5 Seater AC,"₹ 2,50,000"
4613,Hyundai,i20,2015,"70,000 km",1st,Diesel,Diesel Asta,"₹ 5,90,000"
4614,--,--,2021,0 km,--,--,--,"₹ 5,20,000"
4615,--,--,2005,"48,635 km",--,--,--,"₹ 7,94,000"
4616,Maruti Suzuki,Vitara Brezza,2019,"58,000 km",1st,Diesel,ZDi Plus,"₹ 9,25,000"
4617,Mahindra,Bolero Pik-Up,2019,"19,000 km",2nd,Diesel,Others,"₹ 8,49,999"
4618,Maruti Suzuki,Celerio,2015,"80,672 km",1st,Diesel,2014-2017 ZDi Option,"₹ 3,01,000"
4619,Mahindra,Bolero,2004,20 km,4+,Diesel,2001-2010 DI BSIII,"₹ 2,40,000"
4620,Toyota,Fortuner,2019,"63,000 km",1st,Diesel,2.8 2WD MT,"₹ 30,11,000"
4621,Maruti Suzuki,Omni,2010,"100,000 km",3rd,LPG,Others,"₹ 60,000"
4622,Maruti Suzuki,Swift,2008,24 km,3rd,Diesel,2004-2010 VDi BSIII W/ ABS,"₹ 2,50,000"
4623,Toyota,Fortuner,2011,"200,000 km",3rd,Diesel,3.0 4x4 Manual,"₹ 6,99,000"
4624,--,--,--,--,--,--,--,"₹ 3,500"
4625,Hyundai,i20,2011,"131,000 km",2nd,Diesel,2010-2012 1.2 Magna,"₹ 2,35,000"
4626,Maruti Suzuki,Omni,2013,"90,000 km",1st,Petrol,BSIII 8-STR W/ IMMOBILISER,"₹ 1,70,000"
4627,Toyota,Fortuner,2013,"118,000 km",1st,Diesel,2011-2016 4x4 MT,"₹ 13,75,000"
4628,Maruti Suzuki,Alto,2019,"34,000 km",1st,Petrol,Others,"₹ 3,11,000"
4629,Honda,Accord,2012,"90,000 km",1st,Petrol,2.4 Inspire Manual,"₹ 6,00,000"
4630,Hyundai,Elantra,2017,"35,000 km",1st,Petrol,VTVT SX,"₹ 9,00,000"
4631,Hyundai,i10,2010,"65,000 km",3rd,LPG,2007-2010 Era 1.1,"₹ 2,20,000"
4632,Maruti Suzuki,Baleno,2018,"67,000 km",1st,Petrol,1.2 Zeta,"₹ 6,45,000"
4633,Mahindra,XUV500,2015,"80,000 km",1st,Diesel,Others,"₹ 9,25,000"
4634,Mahindra,XUV500,2018,"72,000 km",1st,Diesel,W6 2WD,"₹ 9,75,000"
4635,Other Brands,Others,2014,"11,000 km",2nd,Diesel,--,"₹ 9,11,000"
4636,Chevrolet,Tavera,2006,"150,000 km",4+,Diesel,2003-2007 B2 7 seats BSIII BG,"₹ 1,85,000"
4637,Maruti Suzuki,Omni,2017,"64,300 km",1st,LPG,LPG BS-IV,"₹ 91,000"
4638,Chevrolet,Tavera,2014,"185,000 km",1st,Diesel,2012-2017 Neo 3 LS 7 C BSIII,"₹ 2,75,000"
4639,BMW,X1,2012,"100,000 km",1st,Diesel,M Sport sDrive 20d,"₹ 10,00,000"
4640,Audi,A4,2012,"86,000 km",2nd,Diesel,2014-2016 2.0 TDI Multitronic,"₹ 11,90,000"
4641,Tata,Indica Vista,2009,"100,000 km",2nd,Diesel,2008-2013 Aura 1.3 Quadrajet,"₹ 90,500"
4642,Maruti Suzuki,Alto,2009,"46,500 km",1st,Petrol,Std BS-IV,"₹ 1,40,000"
4643,--,--,--,--,--,--,--,₹ 89
4644,Other Brands,Others,2013,16 km,1st,Petrol,--,"₹ 1,45,000"
4645,Tata,Tigor,2018,"31,500 km",2nd,Petrol,1.2 Revotron XZ,"₹ 5,25,000"
4646,Mahindra,Others,2006,"111,111 km",2nd,Diesel,Others,"₹ 1,40,000"
4647,Toyota,Innova,2005,"270,000 km",3rd,Diesel,2.5 V 8 STR,"₹ 3,40,000"
4648,Audi,A4,2013,"115,000 km",1st,Diesel,2.0 TDI,"₹ 12,00,000"
4649,Chevrolet,Enjoy,2015,"200,000 km",2nd,Diesel,Others,"₹ 2,50,000"
4650,Hyundai,Grand i10,2019,"30,000 km",1st,Petrol,Magna 1.2 Kappa VTVT,"₹ 4,95,000"
